Input Seq,2022 NAICS Code,2022 NAICS Title,Change to 2017 Code,2017 NAICS Code,2017 NAICS Title
1,111110,Soybean Farming,No Change,111110,Soybean Farming
2,111120,Oilseed (except Soybean) Farming ,No Change,111120,Oilseed (except Soybean) Farming 
3,111130,Dry Pea and Bean Farming ,No Change,111130,Dry Pea and Bean Farming 
4,111140,Wheat Farming,No Change,111140,Wheat Farming
5,111150,Corn Farming ,No Change,111150,Corn Farming 
6,111160,Rice Farming,No Change,111160,Rice Farming
7,111191,Oilseed and Grain Combination Farming ,No Change,111191,Oilseed and Grain Combination Farming 
8,111199,All Other Grain Farming ,No Change,111199,All Other Grain Farming 
9,111211,Potato Farming ,No Change,111211,Potato Farming 
10,111219,Other Vegetable (except Potato) and Melon Farming ,No Change,111219,Other Vegetable (except Potato) and Melon Farming 
11,111310,Orange Groves,No Change,111310,Orange Groves
12,111320,Citrus (except Orange) Groves ,No Change,111320,Citrus (except Orange) Groves 
13,111331,Apple Orchards ,No Change,111331,Apple Orchards 
14,111332,Grape Vineyards ,No Change,111332,Grape Vineyards 
15,111333,Strawberry Farming ,No Change,111333,Strawberry Farming 
16,111334,Berry (except Strawberry) Farming ,No Change,111334,Berry (except Strawberry) Farming 
17,111335,Tree Nut Farming ,No Change,111335,Tree Nut Farming 
18,111336,Fruit and Tree Nut Combination Farming ,No Change,111336,Fruit and Tree Nut Combination Farming 
19,111339,Other Noncitrus Fruit Farming ,No Change,111339,Other Noncitrus Fruit Farming 
20,111411,Mushroom Production ,No Change,111411,Mushroom Production 
21,111419,Other Food Crops Grown Under Cover ,No Change,111419,Other Food Crops Grown Under Cover 
22,111421,Nursery and Tree Production ,No Change,111421,Nursery and Tree Production 
23,111422,Floriculture Production ,No Change,111422,Floriculture Production 
24,111910,Tobacco Farming,No Change,111910,Tobacco Farming
25,111920,Cotton Farming,No Change,111920,Cotton Farming
26,111930,Sugarcane Farming,No Change,111930,Sugarcane Farming
27,111940,Hay Farming ,No Change,111940,Hay Farming 
28,111991,Sugar Beet Farming ,No Change,111991,Sugar Beet Farming 
29,111992,Peanut Farming ,No Change,111992,Peanut Farming 
30,111998,All Other Miscellaneous Crop Farming ,No Change,111998,All Other Miscellaneous Crop Farming 
31,112111,Beef Cattle Ranching and Farming ,No Change,112111,Beef Cattle Ranching and Farming 
32,112112,Cattle Feedlots ,No Change,112112,Cattle Feedlots 
33,112120,Dairy Cattle and Milk Production,No Change,112120,Dairy Cattle and Milk Production
34,112130,Dual-Purpose Cattle Ranching and Farming ,No Change,112130,Dual-Purpose Cattle Ranching and Farming 
35,112210,Hog and Pig Farming ,No Change,112210,Hog and Pig Farming 
36,112310,Chicken Egg Production ,No Change,112310,Chicken Egg Production 
37,112320,Broilers and Other Meat Type Chicken Production ,No Change,112320,Broilers and Other Meat Type Chicken Production 
38,112330,Turkey Production,No Change,112330,Turkey Production
39,112340,Poultry Hatcheries,No Change,112340,Poultry Hatcheries
40,112390,Other Poultry Production ,No Change,112390,Other Poultry Production 
41,112410,Sheep Farming,No Change,112410,Sheep Farming
42,112420,Goat Farming,No Change,112420,Goat Farming
43,112511,Finfish Farming and Fish Hatcheries ,No Change,112511,Finfish Farming and Fish Hatcheries 
44,112512,Shellfish Farming ,No Change,112512,Shellfish Farming 
45,112519,Other Aquaculture ,No Change,112519,Other Aquaculture 
46,112910,Apiculture,No Change,112910,Apiculture
47,112920,Horses and Other Equine Production,No Change,112920,Horses and Other Equine Production
48,112930,Fur-Bearing Animal and Rabbit Production,No Change,112930,Fur-Bearing Animal and Rabbit Production
49,112990,All Other Animal Production ,No Change,112990,All Other Animal Production 
50,113110,Timber Tract Operations,No Change,113110,Timber Tract Operations
51,113210,Forest Nurseries and Gathering of Forest Products ,No Change,113210,Forest Nurseries and Gathering of Forest Products 
52,113310,Logging ,No Change,113310,Logging 
53,114111,Finfish Fishing ,No Change,114111,Finfish Fishing 
54,114112,Shellfish Fishing ,No Change,114112,Shellfish Fishing 
55,114119,Other Marine Fishing ,No Change,114119,Other Marine Fishing 
56,114210,Hunting and Trapping,No Change,114210,Hunting and Trapping
57,115111,Cotton Ginning ,No Change,115111,Cotton Ginning 
58,115112,"Soil Preparation, Planting, and Cultivating ",No Change,115112,"Soil Preparation, Planting, and Cultivating "
59,115113,"Crop Harvesting, Primarily by Machine ",No Change,115113,"Crop Harvesting, Primarily by Machine "
60,115114,Postharvest Crop Activities (except Cotton Ginning) ,No Change,115114,Postharvest Crop Activities (except Cotton Ginning) 
61,115115,Farm Labor Contractors and Crew Leaders ,No Change,115115,Farm Labor Contractors and Crew Leaders 
62,115116,Farm Management Services ,No Change,115116,Farm Management Services 
63,115210,Support Activities for Animal Production,No Change,115210,Support Activities for Animal Production
64,115310,Support Activities for Forestry,No Change,115310,Support Activities for Forestry
65,211120,Crude Petroleum Extraction ,No Change,211120,Crude Petroleum Extraction 
66,211130,Natural Gas Extraction ,No Change,211130,Natural Gas Extraction 
67,212114,Surface Coal Mining ,New NAICS Code,212111,Bituminous Coal and Lignite Surface Mining 
68,212114,Surface Coal Mining ,New NAICS Code,212113,Anthracite Mining 
69,212115,Underground Coal Mining ,New NAICS Code,212112,Bituminous Coal Underground Mining 
70,212115,Underground Coal Mining ,New NAICS Code,212113,Anthracite Mining 
71,212210,Iron Ore Mining,No Change,212210,Iron Ore Mining
72,212220,Gold Ore and Silver Ore Mining ,New NAICS Code,212221,Gold Ore Mining 
73,212220,Gold Ore and Silver Ore Mining ,New NAICS Code,212222,Silver Ore Mining 
74,212230,"Copper, Nickel, Lead, and Zinc Mining ",No Change,212230,"Copper, Nickel, Lead, and Zinc Mining"
76,212290,Other Metal Ore Mining ,New NAICS Code,212291,Uranium-Radium-Vanadium Ore Mining 
75,212290,Other Metal Ore Mining ,New NAICS Code,212299,All Other Metal Ore Mining 
77,212311,Dimension Stone Mining and Quarrying ,No Change,212311,Dimension Stone Mining and Quarrying 
78,212312,Crushed and Broken Limestone Mining and Quarrying ,No Change,212312,Crushed and Broken Limestone Mining and Quarrying 
79,212313,Crushed and Broken Granite Mining and Quarrying ,No Change,212313,Crushed and Broken Granite Mining and Quarrying 
80,212319,Other Crushed and Broken Stone Mining and Quarrying ,No Change,212319,Other Crushed and Broken Stone Mining and Quarrying 
81,212321,Construction Sand and Gravel Mining ,No Change,212321,Construction Sand and Gravel Mining 
82,212322,Industrial Sand Mining ,No Change,212322,Industrial Sand Mining 
83,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",New NAICS Code,212324,Kaolin and Ball Clay Mining 
84,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",New NAICS Code,212325,Clay and Ceramic and Refractory Minerals Mining 
86,212390,Other Nonmetallic Mineral Mining and Quarrying ,New NAICS Code,212391,"Potash, Soda, and Borate Mineral Mining "
87,212390,Other Nonmetallic Mineral Mining and Quarrying ,New NAICS Code,212392,Phosphate Rock Mining 
88,212390,Other Nonmetallic Mineral Mining and Quarrying ,New NAICS Code,212393,Other Chemical and Fertilizer Mineral Mining 
85,212390,Other Nonmetallic Mineral Mining and Quarrying ,New NAICS Code,212399,All Other Nonmetallic Mineral Mining 
89,213111,Drilling Oil and Gas Wells,No Change,213111,Drilling Oil and Gas Wells
90,213112,Support Activities for Oil and Gas Operations ,No Change,213112,Support Activities for Oil and Gas Operations 
91,213113,Support Activities for Coal Mining ,No Change,213113,Support Activities for Coal Mining 
92,213114,Support Activities for Metal Mining ,No Change,213114,Support Activities for Metal Mining 
93,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,No Change,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining 
94,221111,Hydroelectric Power Generation ,No Change,221111,Hydroelectric Power Generation 
95,221112,Fossil Fuel Electric Power Generation ,No Change,221112,Fossil Fuel Electric Power Generation 
96,221113,Nuclear Electric Power Generation ,No Change,221113,Nuclear Electric Power Generation 
97,221114,Solar Electric Power Generation ,No Change,221114,Solar Electric Power Generation 
98,221115,Wind Electric Power Generation ,No Change,221115,Wind Electric Power Generation 
99,221116,Geothermal Electric Power Generation ,No Change,221116,Geothermal Electric Power Generation 
100,221117,Biomass Electric Power Generation ,No Change,221117,Biomass Electric Power Generation 
101,221118,Other Electric Power Generation ,No Change,221118,Other Electric Power Generation 
102,221121,Electric Bulk Power Transmission and Control ,No Change,221121,Electric Bulk Power Transmission and Control 
103,221122,Electric Power Distribution ,No Change,221122,Electric Power Distribution 
104,221210,Natural Gas Distribution ,No Change,221210,Natural Gas Distribution 
105,221310,Water Supply and Irrigation Systems ,No Change,221310,Water Supply and Irrigation Systems 
106,221320,Sewage Treatment Facilities ,No Change,221320,Sewage Treatment Facilities 
107,221330,Steam and Air-Conditioning Supply ,No Change,221330,Steam and Air-Conditioning Supply 
108,236115,New Single-Family Housing Construction (except For-Sale Builders) ,No Change,236115,New Single-Family Housing Construction (except For-Sale Builders) 
109,236116,New Multifamily Housing Construction (except For-Sale Builders) ,No Change,236116,New Multifamily Housing Construction (except For-Sale Builders) 
110,236117,New Housing For-Sale Builders ,No Change,236117,New Housing For-Sale Builders 
111,236118,Residential Remodelers ,No Change,236118,Residential Remodelers 
112,236210,Industrial Building Construction ,No Change,236210,Industrial Building Construction 
113,236220,Commercial and Institutional Building Construction ,No Change,236220,Commercial and Institutional Building Construction 
114,237110,Water and Sewer Line and Related Structures Construction ,No Change,237110,Water and Sewer Line and Related Structures Construction 
115,237120,Oil and Gas Pipeline and Related Structures Construction ,No Change,237120,Oil and Gas Pipeline and Related Structures Construction 
116,237130,Power and Communication Line and Related Structures Construction ,No Change,237130,Power and Communication Line and Related Structures Construction 
117,237210,Land Subdivision ,No Change,237210,Land Subdivision 
118,237310,"Highway, Street, and Bridge Construction ",No Change,237310,"Highway, Street, and Bridge Construction "
119,237990,Other Heavy and Civil Engineering Construction ,No Change,237990,Other Heavy and Civil Engineering Construction 
120,238110,Poured Concrete Foundation and Structure Contractors ,No Change,238110,Poured Concrete Foundation and Structure Contractors 
121,238120,Structural Steel and Precast Concrete Contractors ,No Change,238120,Structural Steel and Precast Concrete Contractors 
122,238130,Framing Contractors ,No Change,238130,Framing Contractors 
123,238140,Masonry Contractors ,No Change,238140,Masonry Contractors 
124,238150,Glass and Glazing Contractors ,No Change,238150,Glass and Glazing Contractors 
125,238160,Roofing Contractors ,No Change,238160,Roofing Contractors 
126,238170,Siding Contractors ,No Change,238170,Siding Contractors 
127,238190,"Other Foundation, Structure, and Building Exterior Contractors ",No Change,238190,"Other Foundation, Structure, and Building Exterior Contractors "
128,238210,Electrical Contractors and Other Wiring Installation Contractors,No Change,238210,Electrical Contractors and Other Wiring Installation Contractors
129,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",No Change,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
130,238290,Other Building Equipment Contractors ,No Change,238290,Other Building Equipment Contractors 
131,238310,Drywall and Insulation Contractors ,No Change,238310,Drywall and Insulation Contractors 
132,238320,Painting and Wall Covering Contractors,No Change,238320,Painting and Wall Covering Contractors
133,238330,Flooring Contractors,No Change,238330,Flooring Contractors
134,238340,Tile and Terrazzo Contractors,No Change,238340,Tile and Terrazzo Contractors
135,238350,Finish Carpentry Contractors,No Change,238350,Finish Carpentry Contractors
136,238390,Other Building Finishing Contractors,No Change,238390,Other Building Finishing Contractors
137,238910,Site Preparation Contractors,No Change,238910,Site Preparation Contractors
138,238990,All Other Specialty Trade Contractors,No Change,238990,All Other Specialty Trade Contractors
139,311111,Dog and Cat Food Manufacturing ,No Change,311111,Dog and Cat Food Manufacturing 
