"chosen_2022_code","chosen_2022_title","chosen_2017_code","chosen_2017_title","title_sim","title_dist","source","em_without","em_with"
"111110","Soybean Farming","111110","Soybean Farming",NA,NA,"unambig",0.488,0.532
"111120","Oilseed (except Soybean) Farming ","111120","Oilseed (except Soybean) Farming ",NA,NA,"unambig",0.488,0.532
"111130","Dry Pea and Bean Farming ","111130","Dry Pea and Bean Farming ",NA,NA,"unambig",0.809,0.848
"111140","Wheat Farming","111140","Wheat Farming",NA,NA,"unambig",0.809,0.848
"111150","Corn Farming ","111150","Corn Farming ",NA,NA,"unambig",0.809,0.848
"111160","Rice Farming","111160","Rice Farming",NA,NA,"unambig",0.809,0.848
"111191","Oilseed and Grain Combination Farming ","111191","Oilseed and Grain Combination Farming ",NA,NA,"unambig",0.809,0.848
"111199","All Other Grain Farming ","111199","All Other Grain Farming ",NA,NA,"unambig",0.809,0.848
"111211","Potato Farming ","111211","Potato Farming ",NA,NA,"unambig",0.591,0.631
"111219","Other Vegetable (except Potato) and Melon Farming ","111219","Other Vegetable (except Potato) and Melon Farming ",NA,NA,"unambig",0.591,0.631
"111310","Orange Groves","111310","Orange Groves",NA,NA,"unambig",0.429,0.488
"111320","Citrus (except Orange) Groves ","111320","Citrus (except Orange) Groves ",NA,NA,"unambig",0.429,0.488
"111331","Apple Orchards ","111331","Apple Orchards ",NA,NA,"unambig",0.429,0.488
"111332","Grape Vineyards ","111332","Grape Vineyards ",NA,NA,"unambig",0.429,0.488
"111333","Strawberry Farming ","111333","Strawberry Farming ",NA,NA,"unambig",0.429,0.488
"111334","Berry (except Strawberry) Farming ","111334","Berry (except Strawberry) Farming ",NA,NA,"unambig",0.429,0.488
"111335","Tree Nut Farming ","111335","Tree Nut Farming ",NA,NA,"unambig",0.429,0.488
"111336","Fruit and Tree Nut Combination Farming ","111336","Fruit and Tree Nut Combination Farming ",NA,NA,"unambig",0.429,0.488
"111339","Other Noncitrus Fruit Farming ","111339","Other Noncitrus Fruit Farming ",NA,NA,"unambig",0.429,0.488
"111411","Mushroom Production ","111411","Mushroom Production ",NA,NA,"unambig",0.266,0.307
"111419","Other Food Crops Grown Under Cover ","111419","Other Food Crops Grown Under Cover ",NA,NA,"unambig",0.266,0.307
"111421","Nursery and Tree Production ","111421","Nursery and Tree Production ",NA,NA,"unambig",0.266,0.307
"111422","Floriculture Production ","111422","Floriculture Production ",NA,NA,"unambig",0.266,0.307
"111910","Tobacco Farming","111910","Tobacco Farming",NA,NA,"unambig",0.703,0.74
"111920","Cotton Farming","111920","Cotton Farming",NA,NA,"unambig",0.703,0.74
"111930","Sugarcane Farming","111930","Sugarcane Farming",NA,NA,"unambig",0.703,0.74
"111940","Hay Farming ","111940","Hay Farming ",NA,NA,"unambig",0.703,0.74
"111991","Sugar Beet Farming ","111991","Sugar Beet Farming ",NA,NA,"unambig",0.703,0.74
"111992","Peanut Farming ","111992","Peanut Farming ",NA,NA,"unambig",0.703,0.74
"111998","All Other Miscellaneous Crop Farming ","111998","All Other Miscellaneous Crop Farming ",NA,NA,"unambig",0.703,0.74
"112111","Beef Cattle Ranching and Farming ","112111","Beef Cattle Ranching and Farming ",NA,NA,"unambig",2.847,2.893
"112112","Cattle Feedlots ","112112","Cattle Feedlots ",NA,NA,"unambig",2.847,2.893
"112120","Dairy Cattle and Milk Production","112120","Dairy Cattle and Milk Production",NA,NA,"unambig",1.682,1.724
"112130","Dual-Purpose Cattle Ranching and Farming ","112130","Dual-Purpose Cattle Ranching and Farming ",NA,NA,"unambig",2.847,2.893
"112210","Hog and Pig Farming ","112210","Hog and Pig Farming ",NA,NA,"unambig",1.077,1.128
"112310","Chicken Egg Production ","112310","Chicken Egg Production ",NA,NA,"unambig",0.407,0.438
"112320","Broilers and Other Meat Type Chicken Production ","112320","Broilers and Other Meat Type Chicken Production ",NA,NA,"unambig",0.407,0.438
"112330","Turkey Production","112330","Turkey Production",NA,NA,"unambig",0.407,0.438
